ablennes hians,ablennes hians,FishBase
abudefduf saxatilis,abudefduf saxatilis,FishBase
abudefduf sparoides,abudefduf sparoides,FishBase
acanthochromis polyacanthus,acanthochromis polyacanthus,FishBase
acanthopagrus berda,acanthopagrus berda,FishBase
acanthopagrus bifasciatus,acanthopagrus bifasciatus,FishBase
acanthurus bennetti,?????,
acanthurus gahhm,acanthurus gahhm,FishBase
acanthurus lineatus,acanthurus lineatus,FishBase
acanthurus sexfaciatus,?????,
acanthurus tennentii,acanthurus tennentii,FishBase
acanthurus thompsoni,acanthurus thompsoni,FishBase
acanthurus xanthopterus,acanthurus xanthopterus,FishBase
aethaloperca rogaa,aethaloperca rogaa,FishBase
aetobatus narinari,aetobatus narinari,FishBase
albula vulpes,albula vulpes,FishBase
alectis ciliaris,alectis ciliaris,FishBase
alectis indicus,alectis indica,misspelling
ambassis natalensis,ambassis natalensis,FishBase
amblygaster sirm,amblygaster sirm,FishBase
amblygobius phalaena,amblygobius phalaena,FishBase
amphiprion allardi,amphiprion allardi,FishBase
anampses caeruleopunctatus,anampses caeruleopunctatus,FishBase
anyperodon leucogrammicus,anyperodon leucogrammicus,FishBase
aphareus furca,aphareus furca,FishBase
aphareus rutilans,aphareus rutilans,FishBase
apogonichthyoides nigripinnis,apogonichthyoides nigripinnis,FishBase
apolemichthys trimaculatus,apolemichthys trimaculatus,FishBase
aprion virescens,aprion virescens,FishBase
argyrops filamentosus,argyrops filamentosus,FishBase
argyrops spinifer,argyrops spinifer,FishBase
arius africanus,arius africanus,FishBase
arius madagascariensis,arius madagascariensis,FishBase
arius venosus,arius venosus,FishBase
atherinomorus lacunosus,atherinomorus lacunosus,FishBase
atule mate,atule mate,FishBase
auxis rochei,auxis rochei,FishBase
auxis thazard,auxis thazard,FishBase
balistapus undulatus,balistapus undulatus,FishBase
balistoides viridescens,balistoides viridescens,FishBase
bodianus axillaris,bodianus axillaris,FishBase
bodianus bilunulatus,bodianus bilunulatus,FishBase
bodianus diana,bodianus diana,FishBase
bodianus loxozonus,bodianus loxozonus,FishBase
caesio caerulaurea,caesio caerulaurea,FishBase
caesio lunaris,caesio lunaris,FishBase
caesio teres,caesio teres,FishBase
caesio varilineata,caesio varilineata,FishBase
caesio xanthonota,caesio xanthonota,FishBase
callionymus regani,callionymus regani,FishBase
callistoctopus macropus,Callistoctopus macropus,WoRMS
calotomus carolinus,calotomus carolinus,FishBase
cantherhines dumerilii,cantherhines dumerilii,FishBase
canthigaster bennetti,canthigaster bennetti,FishBase
carangoides armatus,carangoides armatus,FishBase
carangoides caeruleopinnatus,carangoides coeruleopinnatus,misspelling
carangoides chrysophrys,carangoides chrysophrys,FishBase
carangoides coeruleopinnatus,carangoides coeruleopinnatus,FishBase
carangoides ferdau,carangoides ferdau,FishBase
carangoides fulvoguttatus,carangoides fulvoguttatus,FishBase
carangoides gymnostethus,carangoides gymnostethus,FishBase
carangoides kidara,?????,
carangoides orthogrammus,carangoides orthogrammus,FishBase
carangoides plagiotaenia,carangoides plagiotaenia,FishBase
caranx heberi,caranx heberi,FishBase
caranx ignobilis,caranx ignobilis,FishBase
caranx melampygus,caranx melampygus,FishBase
caranx papuensis,caranx papuensis,FishBase
caranx sexfaciatus,caranx sexfasciatus,misspelling
