Ablennes hians
Abudefduf saxatilis
Abudefduf sparoides
Acanthochromis polyacanthus
Acanthopagrus berda
Acanthopagrus bifasciatus
Acanthurus bennetti
Acanthurus gahhm
Acanthurus lineatus
Acanthurus sexfaciatus
Acanthurus tennentii
Acanthurus thompsoni
Acanthurus xanthopterus
Aethaloperca rogaa
Aetobatus narinari
Albula vulpes
Alectis ciliaris
Alectis indicus
Ambassis natalensis
Amblygaster sirm
Amblygobius phalaena
Amphiprion allardi
Anampses caeruleopunctatus
Anyperodon leucogrammicus
Aphareus furca
Aphareus rutilans
Apogonichthyoides nigripinnis
Apolemichthys trimaculatus
Aprion virescens
Argyrops filamentosus
Argyrops spinifer
Arius africanus
Arius madagascariensis
Arius venosus
Atherinomorus lacunosus
Atule mate
Auxis rochei
Auxis thazard
Balistapus undulatus
Balistoides viridescens
Bodianus axillaris
Bodianus bilunulatus
Bodianus diana
Bodianus loxozonus
Caesio caerulaurea
Caesio lunaris
Caesio teres
Caesio varilineata
Caesio xanthonota
Callionymus regani
Callistoctopus macropus
Calotomus carolinus
Cantherhines dumerilii
Canthigaster bennetti
Carangoides armatus
Carangoides caeruleopinnatus
Carangoides chrysophrys
Carangoides coeruleopinnatus
Carangoides ferdau
Carangoides fulvoguttatus
Carangoides gymnostethus
Carangoides kidara
Carangoides orthogrammus
Carangoides plagiotaenia
Caranx heberi
Caranx ignobilis
Caranx melampygus
Caranx papuensis
Caranx sexfaciatus
Caranx tille
Carcharhinus amblyrhynchoides
Carcharhinus amboinensis
Carcharhinus falciformis
Carcharhinus longimanus
Carcharhinus melanopterus
Carcharhinus plumbeus
Cephalopholis aurantia
Cephalopholis boenak
Cephalopholis cyanostigma
Cephalopholis miniata
Cephalopholis nigripinis
Cephalopholis nigripinnis
Cephalopholis oligosticta
Cephalopholis sexmaculata
Cephalopholis sonnerati
Cephalopholis spiloparaea
Cephalopholis urodeta
Cephapholis argus
Cephapholis spiloparaea
Cetoscarus bicolor
Chaetodon auriga
Chaetodon lunula
Chanos chanos
Cheilinus chlorourus
Cheilinus fasciatus
Cheilinus undulatus
Cheilio inemis
Cheiliodipterus quinquelineatus
Cheilodipterus arabicus
Cheimerius nufar
Chirocentrus dorab
Chlorurus atrilunula
Chlorurus capistratoides
Chlorurus perspicillatus
Chlorurus sordidus
Choerodon fasciatus
Choerodon robustus
Chrysoblephus puniceus
Clarias gariepinus
Cociella crocodilus
Coregonus nigripinnis
Coris aygula
Coris caudimacula
Coris formosa
Coryphaena equiselis
Coryphaena hippurus
Ctenochaetus binotatus
Ctenochaetus strigosus
Cymbacephalus beauforti
Cynoglossus zanzibarensis
Cynoglosus acaudatus
Dactylopterus volitans
Dascylus trimaculatus
Decapterus macarellus
Decapterus tabl
Diagramma pictum
Dipterygonotus balteatus
Dussumieria elopsoides
Echeneis naucrates
Elagatis bipinnulata
Encrasicholina puntifer
Epeniphelus cearuleopucntatus
Epibulus insidiator
Epinephelus areolatus
Epinephelus caeruleopunctatus
Epinephelus chlorostigma
Epinephelus coeruleopunctatus
Epinephelus fasciatus
Epinephelus flavocaeruleus
Epinephelus fuscoguttatus
Epinephelus lanceolatus
Epinephelus longispinis
Epinephelus macrospilos
Epinephelus malabaricus
Epinephelus merra
Epinephelus multinotatus
Epinephelus polyphekadion
Epinephelus rivulatus
Epinephelus spilotoceps
Epinephelus tukula
Epiniphelus coides
Epiniphelus merra
Epiniphelus tauvina
Equulites lineolatus
Etelis carbunculus
Etelis coruscans
Euleptorhamphus viridis
Euthynnus affinis
Galeichthys ater
Galeocerdo cuvier
Geres filamentosus
Gerres oblongus
Gnathanodon speciosus
Gnathodentex aureolineatus
Grammatorcynus bilineatus
Gymnocaesio gymnoptera
Gymnocranius elongatus
Gymnocranius grandoculis
Gymnothorax favagineus
Gymnothorax javanicus
Gymnothorax undulatus
Halichoeres scapularis
Halichoeres zeylonicus
Hemigymnus melapterus
Hemipristis elongata
Hemiramphus lutkei
Himantura uarnak
Hipposcarus harid
Hologymnosus doliatus
Hyporhamphus affinis
Hyporhamphus dussumieri
Hyporhamphus gamberur
Hyporthodus octofasciatus
Iniistius brevipinnis
Iniistius pavo
Iniistius pentadactylus
Insiistius evides
Istiompax indica
Johnius amblycephalus
Johnius dussumieri
Karalla daura
Karalla dussumieri
Katsuwonus pelamis
Kyphosus vaigiensis
Lagocephalus lunaris
Leiognathus berbis
Leiognathus equula
Leptoscarus vaigiensis
Lethinus lentjan
Lethinus rubrioperculatus
Lethrinus borbonicus
Lethrinus conchyliatus
Lethrinus erythracanthus
Lethrinus genivittatus
Lethrinus gibbus
Lethrinus luthracutus
Lethrinus mahsena
Lethrinus microdon
Lethrinus olivaceus
Lethrinus rubrioperculatus
Lethrinus xanthochilus
Lutjan bohar
Lutjanus argentimaculatus
Lutjanus campechanus
Lutjanus ehrenbergii
Lutjanus fulviflama
Lutjanus johnii
Lutjanus monostigma
Lutjanus notatus
Lutjanus quinquelineatus
Lutjanus rivulatus
Lutjanus sanguineus
Lutjanus sebae
Lutjanus timoriensis
Macolor niger
Macrobrachium rude
Maculabatis gerrardi
Malacanthus brevilostris
Marsupenaeus japonicus
Megalaspis cordyla
Metapenaeus monoceros
Metapenaeus stebbingi
Mobula kuhlii
Monodactylus argenteus
Monodactylus falciformis
Mtende hania
Mulloidichthys flavolineatus
Mulloidichthys vanicolensis
Muraenesox cinereus
Muraenichthys schultzei
Mypristis kuntee
Myripristis berndti
Myripristis botche
Myripristis hexagona
Myripristis murdjan
Myripristis pralinia
Naso annulatus
Naso brachycentron
Naso brevirostris
Naso elegans
Naso thynnoides
Naso tuberosus
Naso unicornis
Nematopalaemon tenuipes
Nemipterus bipunctatus
Nemipterus japonicus
Nemipterus randalli
Nemipterus zysron
Neoniphon opercularis
Neoniphon sammara
Neotrygon kuhlii
Novaculichthys taeniourus
Novaculoides macrolepidotus
Octopus cyanea
Oreochromis mossambicus
Ostorhinchus aureus
Ostracion cubicus
Otolithes ruber
